Gene ID;Entrez Gene ID;Gene Symbol;Gene Name;Organism;Unigene ID;Ensembl ID;UniProt ID;Alias;Lifespan Effect;Phenotype Description;Longevity Influence;Max Lifespan Change;Avg Lifespan Change;Method;Bibliographic reference
269;181492;aakb-1;AMP-Activated Kinase Beta subunit;Caenorhabditis elegans;Cel.860;F55F3.1;;;decrease;RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.;pro;;;RNA interference;2290: Ha et al. (2006) "Caenorhabditis elegans as a screening tool for the endothelial cell-derived putative aging-related proteins detected by proteomic analysis."  Proteomics 6(11):3339-3351 (16673436)
752;176552;aakb-2;AMP-Activated Kinase Beta subunit;Caenorhabditis elegans;Cel.9773;Y47D3A.15;;;decrease;RNA interference resulted in decreased lifespan and earlier accumulation of lipofuscin.;pro;;;RNA interference;2290: Ha et al. (2006) "Caenorhabditis elegans as a screening tool for the endothelial cell-derived putative aging-related proteins detected by proteomic analysis."  Proteomics 6(11):3339-3351 (16673436)
1849;181736;aakg-2;Protein AAKG-2;Caenorhabditis elegans;;;;;increase;aakg-2 overexpression extends mean, median, and maximum lifespan by 47, 45, and 35%. ;pro;35;47;Overexpression;2588: Sagi and Kim (2012) "An engineering approach to extending lifespan in C. elegans."  PLoS Genet. 8(6):e1002780 (22737090)
2;185079;aat-8;Amino Acid Transporter;Caenorhabditis elegans;Cel.13054;F28F9.4;;;increase;RNA interference increased mean lifespan by 30%.;anti;;30;RNA interference;2233: Kim and Sun (2007) "Functional genomic approach to identify novel genes involved in the regulation of oxidative stress resistance and animal lifespan."  Aging Cell 6(4):489-503 (17608836)
1612;853755;AAT1;Aspartate AminoTransferase;Saccharomyces cerevisiae;;YKL106W;;;increase;Replicative lifespan increased by 25%;pro;;25;Overexpression;2511: Easlon et al. (2008) "The malate-aspartate NADH shuttle components are novel metabolic longevity regulators required for calorie restriction-mediated life span extension in yeast."  Genes Dev. 22(7):931-944 (18381895)
1613;850714;AAT2;Aspartate AminoTransferase;Saccharomyces cerevisiae;;YLR027C;;ASP5;increase;Replicative lifespan increased by 15%;pro;;15;Overexpression;2511: Easlon et al. (2008) "The malate-aspartate NADH shuttle components are novel metabolic longevity regulators required for calorie restriction-mediated life span extension in yeast."  Genes Dev. 22(7):931-944 (18381895)
657;183860;abcx-1;ABC transporter, eXtended;Caenorhabditis elegans;Cel.24987;C56E6.1;;;increase;RNA interference in adulthood extended mean lifespan by 16%.;anti;;16;RNA interference;2246: Chen et al. (2007) "Longevity determined by developmental arrest genes in Caenorhabditis elegans."  Aging Cell 6(4):525-533 (17521386)
1683;850450;ABP1;Actin Binding Protein;Saccharomyces cerevisiae;;YCR088W;;;increase;Replicative lifespan increased by 20% in the alpha strain;anti;;20;Deletion;2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1683;850450;ABP1;Actin Binding Protein;Saccharomyces cerevisiae;;YCR088W;;;decrease;Replicative lifespan decreased by 20% in the a strain;fitness;;20;Deletion;2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1683;850450;ABP1;Actin Binding Protein;Saccharomyces cerevisiae;;YCR088W;;;increase;Replicative lifespan increased by 30% in the alpha strain;anti;;30;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1683;850450;ABP1;Actin Binding Protein;Saccharomyces cerevisiae;;YCR088W;;;decrease;Replicative lifespan decreased by 20% in the a strain;fitness;;20;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
3;173404;abu-11;Activated in Blocked Unfolded protein response;Caenorhabditis elegans;Cel.14499;T01D1.6;;;increase;Overexpression extends mean lifespan by 9% to 28%.;pro;;28;Overexpression;2234: Viswanathan et al. (2005) "A role for SIR-2.1 regulation of ER stress response genes in determining C. elegans life span."  Dev. Cell 9(5):605-615 (16256736)
1507;852925;ACB1;Acyl-CoA-Binding;Saccharomyces cerevisiae;;YGR037C;;;increase;Mean replicative lifespan increased in the alpha and a strain ;anti;;;Deletion;2500: Fabrizio et al. (2010) "Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation."  PLoS Genet. 6(7):e1001024 (20657825)
300;177654;acdh-13;Acyl CoA DeHydrogenase;Caenorhabditis elegans;Cel.7888;C28C12.9;;;increase;RNA interference increased mean lifespan by 57%.;anti;;57;RNA interference;2233: Kim and Sun (2007) "Functional genomic approach to identify novel genes involved in the regulation of oxidative stress resistance and animal lifespan."  Aging Cell 6(4):489-503 (17608836)
884;181706;ace-1;abnormal ACEtylcholinesterase;Caenorhabditis elegans;;W09B12.1;;;increase;8% mean lifespan extension;anti;;8;RNA interference;2418: Xue et al. (2007) "A modular network model of aging."  Mol. Syst. Biol. 3:147 (18059442)
1914;852266;ACH1;Ach1p;Saccharomyces cerevisiae;;;;;decrease;Deletion of ACH1 reduces chronological lifespan. ;fitness;;;Deletion;3522: Eisenberg et al. (2014) "Nucleocytosolic depletion of the energy metabolite acetyl-coenzyme a stimulates autophagy and prolongs lifespan."  Cell Metab. 19(3):431-444 (24606900)
4;185044;acl-11;ACyLtransferase-like;Caenorhabditis elegans;Cel.24997;F28B3.9;;;increase;RNA interference leads to lifespan extension.;anti;;;RNA interference;2235: Lee et al. (2003) "A systematic RNAi screen identifies a critical role for mitochondria in C. elegans longevity."  Nat. Genet. 33(1):40-48 (12447374)
2101;180780;acn-1;Inactive angiotensin-converting enzyme-related protein;Caenorhabditis elegans;;;;;increase;When acn-1, a worm homologue of ACE, was downregulated mean lifespan was increased 21% and maximum lifespan increased 18%. Similar results were shown when acn-1 was downregulated from adulthood. In addition, lifespan was increased at higher temperatures, age-related degenerative changes were delayed and stress resistance was increased. ;anti;18;21;RNA interference;4404: Kumar et al. (2016) "Angiotensin Converting Enzyme (ACE) Inhibitor Extends Caenorhabditis elegans Life Span."  PLoS Genet. 12(2):e1005866 (26918946)
5;176121;aco-2;ACOnitase;Caenorhabditis elegans;Cel.17858;F54H12.1;;;increase;RNA interference leads to lifespan extension.;anti;;;RNA interference;2236: Hamilton et al. (2005) "A systematic RNAi screen for longevity genes in C. elegans."  Genes Dev. 19(13):1544-1555 (15998808)
5;176121;aco-2;ACOnitase;Caenorhabditis elegans;Cel.17858;F54H12.1;;;increase;30% mean lifespan extension in daf2 background, no lifespan measurement in wt background;anti;;;RNA interference;2268: Dong et al. (2007) "Quantitative mass spectrometry identifies insulin signaling targets in C. elegans."  Science 317(5838):660-663 (17673661)
5;176121;aco-2;ACOnitase;Caenorhabditis elegans;Cel.17858;F54H12.1;;;increase;RNA interference of aco-2 results in an increased lifespan.;anti;;20.5;RNA interference;3567: Reis-Rodrigues et al. (2012) "Proteomic analysis of age-dependent changes in protein solubility identifies genes that modulate lifespan."  Aging Cell 11(1):120-127 (22103665)
1648;853230;ACO2;ACOnitase;Saccharomyces cerevisiae;;YJL200C;;;increase;Replicative lifespan increased by 20% in the alpha strain;anti;;20;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1648;853230;ACO2;ACOnitase;Saccharomyces cerevisiae;;YJL200C;;;decrease;Replicative lifespan decreased by 10% in the a strain ;fitness;;10;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
245;178190;acs-20;Protein ACS-20;Caenorhabditis elegans;Cel.5847;F28D1.9;;;decrease;RNA interference decreased median lifespan by 50% in wild type animals and 70% in daf-2 mutants.;pro;;50;RNA interference;2239: Samuelson et al. (2007) "Gene activities that mediate increased life span of C. elegans insulin-like signaling mutants."  Genes Dev. 21(22):2976-2994 (18006689)
2051;176005;acs-4;fatty Acid CoA Synthetase family;Caenorhabditis elegans;5646;;;;increase;RNA interference of acs-4 results in an increased lifespan.;anti;;6.1;RNA interference;3567: Reis-Rodrigues et al. (2012) "Proteomic analysis of age-dependent changes in protein solubility identifies genes that modulate lifespan."  Aging Cell 11(1):120-127 (22103665)
772;176785;acs-5;fatty Acid CoA Synthetase family;Caenorhabditis elegans;Cel.33;Y76A2B.3;;;increase;RNA interference increased mean lifespan by 52%.;anti;;52;RNA interference;2233: Kim and Sun (2007) "Functional genomic approach to identify novel genes involved in the regulation of oxidative stress resistance and animal lifespan."  Aging Cell 6(4):489-503 (17608836)
901;174472;acs-7;hypothetical protein;Caenorhabditis elegans;;C01G6.7;;;increase;20% mean lifespan extension;anti;;20;RNA interference post development;2421: Oliveira et al. (2009) "Condition-adapted stress and longevity gene regulation by Caenorhabditis elegans SKN-1/Nrf."  Aging Cell 8(5):524-541 (19575768)
1600;850846;ACS2;Acetyl CoA Synthetase;Saccharomyces cerevisiae;;YLR153C;;;decrease;Replicative lifespan decreased by 70% in the alpha strain ;pro;;70;Deletion;2509: Falcón et al. (2010) "Acetyl-coenzyme A synthetase 2 is a nuclear protein required for replicative longevity in Saccharomyces cerevisiae."  Mol. Cell. Biochem. 333(1-2):99-9108 (19618123)
1299;852059;ADA2;transcriptional ADAptor;Saccharomyces cerevisiae;;YDR448W;;SWI8;decrease;Replicative lifespan decreased by 50% in the alpha strain ;fitness;;50;Deletion;2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1299;852059;ADA2;transcriptional ADAptor;Saccharomyces cerevisiae;;YDR448W;;SWI8;decrease;Mean chronological lifespan strongly decreased in the a strain ;fitness;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
6;224129;Adcy5;adenylate cyclase 5;Mus musculus;Mm.41137;ENSMUSG00000022840;P84309;Ac5 AW121902;increase;Knock out mice are resistant to cardiac stress, have an increased median lifespan of 30% and an increased maximal lifespan of 12%. They are also protected from age-related reduced bone density and susceptibility to fractures, and reduced cardiac function.;anti;12;30;Knockout;1845: Yan et al. (2007) "Type 5 adenylyl cyclase disruption increases longevity and protects against stress."  Cell 130(2):247-258 (17662940)
1016;855222;ADD37;Alpha1-proteinase inhibitor-Degradation Deficient;Saccharomyces cerevisiae;;YMR184W;;;decrease;Mean chronological lifespan decreased in the a strain ;fitness;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1016;855222;ADD37;Alpha1-proteinase inhibitor-Degradation Deficient;Saccharomyces cerevisiae;;YMR184W;;;decrease;Mean replicative lifespan decreased in the alpha and a strain ;fitness;;;Deletion;2500: Fabrizio et al. (2010) "Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation."  PLoS Genet. 6(7):e1001024 (20657825)
1017;853629;ADD66;Alpha1-proteinase inhibitor-Degradation Deficient;Saccharomyces cerevisiae;;YKL206C;;PBA2 POC2;decrease;Mean replicative lifespan decreased in the alpha and a strain ;fitness;;;Deletion;2500: Fabrizio et al. (2010) "Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation."  PLoS Genet. 6(7):e1001024 (20657825)
1332;851272;ADE1;ADEnine requiring;Saccharomyces cerevisiae;;YAR015W;;;increase;Mean chronological lifespan strongly increased in the a strain ;anti;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1333;855501;ADE12;ADEnine requiring;Saccharomyces cerevisiae;;YNL220W;;BRA9;increase;Mean chronological lifespan strongly increased in the a strain ;anti;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1209;855149;ADE17;ADEnine requiring;Saccharomyces cerevisiae;;YMR120C;;;decrease;Mean chronological lifespan decreased in the a strain ;fitness;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1334;854295;ADE2;ADEnine requiring;Saccharomyces cerevisiae;;YOR128C;;;increase;Mean chronological lifespan strongly increased in the a strain ;anti;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1018;853118;ADE3;ADEnine requiring;Saccharomyces cerevisiae;;YGR204W;;;decrease;Mean replicative lifespan decreased in the alpha and a strain ;fitness;;;Deletion;2500: Fabrizio et al. (2010) "Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation."  PLoS Genet. 6(7):e1001024 (20657825)
1018;853118;ADE3;ADEnine requiring;Saccharomyces cerevisiae;;YGR204W;;;increase;Mean chronological lifespan strongly increased in the a strain ;anti;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1335;855346;ADE4;ADEnine requiring;Saccharomyces cerevisiae;;YMR300C;;;increase;Mean chronological lifespan strongly increased in the a strain ;anti;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1336;852617;ADE5,7;ADEnine requiring;Saccharomyces cerevisiae;;YGL234W;;;no change;Deletion of ADE5,7 does not affect chronological lifespan.;;;;Deletion;3506: Garay et al. (2014) "High-resolution profiling of stationary-phase survival reveals yeast longevity factors and their genetic interactions."  PLoS Genet. 10(2):e1004168 (24586198)
1336;852617;ADE5,7;ADEnine requiring;Saccharomyces cerevisiae;;YGL234W;;;increase;Mean chronological lifespan strongly increased in the a strain ;anti;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1337;852952;ADE6;ADEnine requiring;Saccharomyces cerevisiae;;YGR061C;;;increase;Mean chronological lifespan strongly increased in the a strain ;anti;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1649;854068;ADH1;Alcohol DeHydrogenase;Saccharomyces cerevisiae;;YOL086C;;ADC1;increase;Replicative lifespan increased by 20% in the alpha strain and 15% in the a strain ;anti;;20;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1019;855349;ADH2;Alcohol DeHydrogenase;Saccharomyces cerevisiae;;YMR303C;;ADR2;increase;Knockout of ADH2 results in an extended chronological median lifespan.;anti;;60;Knockout;3519: Yizhak et al. (2013) "Model-based identification of drug targets that revert disrupted metabolism and its application to ageing."  Nat Commun 4:2632 (24153335)
1019;855349;ADH2;Alcohol DeHydrogenase;Saccharomyces cerevisiae;;YMR303C;;ADR2;decrease;Mean replicative lifespan decreased in the alpha and a strain ;fitness;;;Deletion;2500: Fabrizio et al. (2010) "Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation."  PLoS Genet. 6(7):e1001024 (20657825)
1210;851812;ADK1;ADenylate Kinase;Saccharomyces cerevisiae;;YDR226W;;AKY1 AKY2;decrease;Mean chronological lifespan decreased in the a strain ;fitness;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
885;172542;adr-1;Adenosine Deaminase that acts on RNA;Caenorhabditis elegans;;H15N14.1;;;decrease;Median lifespan reduced by 50%. ;pro;;50;RNA interference post development;2548: Sebastiani et al. (2009) "RNA editing genes associated with extreme old age in humans and with lifespan in C. elegans."  PLoS ONE 4(12):e8210 (20011587)
886;176022;adr-2;Adenosine Deaminase that acts on RNA;Caenorhabditis elegans;;T20H4.4;;;decrease;Median lifespan reduced by 50%. ;pro;;50;RNA interference post development;2548: Sebastiani et al. (2009) "RNA editing genes associated with extreme old age in humans and with lifespan in C. elegans."  PLoS ONE 4(12):e8210 (20011587)
1576;851802;ADR1;Alcohol Dehydrogenase Regulator;Saccharomyces cerevisiae;;YDR216W;;;decrease;Replicative lifespan decreased by 35% in the alpha strain ;fitness;;35;Deletion;2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1953;11549;Adra1a;adrenergic receptor, alpha 1a;Mus musculus;;;;;increase;Transgenic mice overexpressing a CAM form of the adrenergic receptor, alpha 1a (Adra1a), display an extended lifespan. Median lifespan taken for both sexes together is 10% higher than that of WT mice. While median lifespan increases for both sexes, this is significant for males only. Maximum lifespan also increases by 8% compared with WT mice. ;pro;8;10;Overexpression;3541: Doze et al. (2011) "Long-term α1A-adrenergic receptor stimulation improves synaptic plasticity, cognitive function, mood, and longevity."  Mol. Pharmacol. 80(4):747-758 (21791575)
1954;11548;Adra1b;adrenergic receptor, alpha 1b;Mus musculus;;;;;decrease;Transgenic mice overexpressing a CAM form of the adrenergic receptor, alpha 1b (Adra1b), display a shorter lifespan (mean 11% shorter) when compared to wild-type mice. When comparing each sex separately, the mean lifespan difference was significant only for female mice. Maximal lifespan of mutant mice was significantly shorter than that of WT mice. Female mutants had a significantly shorter maximal lifespan than female WT animals, however, the maximal lifespan of male mutants was significantly increased when compared with that of male WT mice.;anti;;11;Overexpression;3542: Collette et al. (2014) "Long-term α1B-adrenergic receptor activation shortens lifespan, while α1A-adrenergic receptor stimulation prolongs lifespan in association with decreased cancer incidence."  Age (Dordr) 36(4):9675 (24994537)
1020;855086;AEP1;ATPase ExPression;Saccharomyces cerevisiae;;YMR064W;;NCA1;decrease;Mean chronological lifespan decreased in the a strain ;fitness;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1020;855086;AEP1;ATPase ExPression;Saccharomyces cerevisiae;;YMR064W;;NCA1;decrease;Mean replicative lifespan decreased in the alpha and a strain ;fitness;;;Deletion;2500: Fabrizio et al. (2010) "Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation."  PLoS Genet. 6(7):e1001024 (20657825)
1020;855086;AEP1;ATPase ExPression;Saccharomyces cerevisiae;;YMR064W;;NCA1;increase;The life span of cbs1D, cbp6D, suv3D, dss1D, pet122D, pet309D, and aep1D mutants was examined to check if the absence of members of the MTC module other than Sov1p leads to life span extension. Indeed, all those mutants were long-lived.;anti;;30;Mutation;3272: Caballero et al. (2011) "Absence of mitochondrial translation control proteins extends life span by activating sirtuin-dependent silencing."  Mol. Cell 42(3):390-400 (21549315)
1650;856737;AFG3;ATPase Family Gene;Saccharomyces cerevisiae;;YER017C;;YTA10;increase;Replicative lifespan increased by 20% in the alpha and a strains ;anti;;20;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1524;856132;AGC1;Aspartate-Glutamate Carrier;Saccharomyces cerevisiae;;YPR021C;;;increase;Replicative lifespan increased by 30% in the alpha strain ;anti;;30;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
7;174762;age-1;AGEing alteration AGE-1, abnormal DAuer Formation DAF-23;Caenorhabditis elegans;Cel.18292;B0334.8;;;increase;Knockout mutants have a 40-65% increase in mean lifespan and a 65-110% increase in maximum lifespan.;anti;110;65;Knockout;2237: Friedman and Johnson (1988) "A mutation in the age-1 gene in Caenorhabditis elegans lengthens life and reduces hermaphrodite fertility."  Genetics 118(1):75-86 (8608934)
7;174762;age-1;AGEing alteration AGE-1, abnormal DAuer Formation DAF-23;Caenorhabditis elegans;Cel.18292;B0334.8;;;increase;C. elegans strains bearing homozygous nonsense mutations in the age-1 gene, which encodes the class-I phosphatidylinositol 3-kinase catalytic subunit (PI3KCS), produce progeny that were thought to undergo obligatory developmental arrest. After prolonged developmental times at 15 - 20 C, they mature into extremely long-lived adults with near-normal feeding rates and motility. They survive to a median of 145-190 days at 20 C, with nearly 10-fold extension of both median and maximum adult lifespan relative to N2DRM, a long-lived wild-type stock into which the null mutant was outcrossed. PI3K-null adults, although a little less thermotolerant, are considerably more resistant to oxidative and electrophilic stresses than worms bearing normal or less long-lived alleles. Their unprecedented factorial gains in survival, under both normal and toxic environments, are attributed to elimination of residual and maternally-contributed PI3KCS or its products, and consequent modification of kinase signaling cascades. ;anti;1000;1000;Mutation;2482: Ayyadevara et al. (2008) "Remarkable longevity and stress resistance of nematode PI3K-null mutants."  Aging Cell 7(1):13-22 (17996009)
7;174762;age-1;AGEing alteration AGE-1, abnormal DAuer Formation DAF-23;Caenorhabditis elegans;Cel.18292;B0334.8;;;increase;170% mean lifespan extension;anti;;170;RNA interference;2236: Hamilton et al. (2005) "A systematic RNAi screen for longevity genes in C. elegans."  Genes Dev. 19(13):1544-1555 (15998808)
7;174762;age-1;AGEing alteration AGE-1, abnormal DAuer Formation DAF-23;Caenorhabditis elegans;Cel.18292;B0334.8;;;increase;65 % increase in mean lifespan and a 110 % increase in maximum lifespan at 25 degrees. age-1 mutant hermaphrodites show a 50% slower rate of mortality acceleration than wild-type. ;anti;110;65;Mutation;2483: Johnson (1990) "Increased life-span of age-1 mutants in Caenorhabditis elegans and lower Gompertz rate of aging."  Science 249(4971):908-912 (2392681)
7;174762;age-1;AGEing alteration AGE-1, abnormal DAuer Formation DAF-23;Caenorhabditis elegans;Cel.18292;B0334.8;;;increase;Mutants presented a double adult lifespan.;anti;;100;Mutation;2275: Larsen et al. (1995) "Genes that regulate both development and longevity in Caenorhabditis elegans."  Genetics 139(4):1567-1583 (7789761)
43;176695;agmo-1;Protein AGMO-1;Caenorhabditis elegans;Cel.19986;BE10.2;;;decrease;RNA interference decreased median lifespan by 30% in wild type animals and 60% in daf-2 mutants.;pro;;30;RNA interference;2239: Samuelson et al. (2007) "Gene activities that mediate increased life span of C. elegans insulin-like signaling mutants."  Genes Dev. 21(22):2976-2994 (18006689)
